# Walter Croncat journalism pipeline — seen story_ids
# Format: <story_id>\t<first_seen_utc_iso>\t<headline_seed>
# Used by src/main.post_journalism_cycle to avoid re-reporting the same
# story across cycles. Committed by .github/workflows/journalism-dry-run.yml
# after each successful dry-run so state persists across runs.
#
# Iteration 13 one-off migration: backfilled headlines for 9 legacy
# 2-column entries (runs 17-25) using the loop log as source of truth.
# Before this migration, semantic dedup only worked for new entries
# and missed same-event-different-headline matches against legacy
# entries — surfaced by run 29 when the pipeline selected
# "Gilgo Beach suspect pleads guilty..." even though run 17 had
# already selected "Rex Heuermann Pleads Guilty to Gilgo Beach Serial
# Killings" (same event, same person). With the backfilled headlines,
# proper-noun overlap on {gilgo, beach} now correctly dedups them.

2026-05-02-germany-says-us-troop-37bdf9f424	2026-05-02T17:48:35.606131+00:00	Germany says US troop withdrawal 'foreseeable' as Nato seeks clarification - BBC
2026-05-02-pentagon-to-pull-5-213a66f0fe	2026-05-02T22:48:39.348941+00:00	Pentagon to pull 5,000 troops from Germany, alarming Republican lawmakers - The Washington Post
2026-05-03-trump-says-he-is-9c7b6ecae0	2026-05-03T12:51:41.646214+00:00	Trump says he is reviewing Iran's new offer but doubts it is 'acceptable' - NBC News
2026-05-03-how-redistricting-and-the-bc2e02b048	2026-05-03T17:49:06.298085+00:00	How redistricting and the Supreme Court have cut voters out of US House races - Reuters
2026-05-03-iran-says-us-has-acd27cbefc	2026-05-03T22:47:17.889850+00:00	Iran says US has responded to its latest peace proposal - BBC
2026-05-04-rudy-giuliani-in-critical-9e0eb86845	2026-05-04T13:06:40.295479+00:00	Rudy Giuliani in critical condition in hospital - BBC
2026-05-04-supreme-court-gives-abortion-00a10c941f	2026-05-04T18:03:31.456440+00:00	Supreme Court gives abortion pill mifepristone a 1-week reprieve from a major change - NPR
2026-05-05-abortion-pill-rulings-cause-ce54a688f2	2026-05-05T12:59:55.664237+00:00	Abortion pill rulings cause whiplash and confusion - Axios
2026-05-05-live-updates-iran-ceasefire-1359266390	2026-05-05T17:02:40.938743+00:00	Live Updates: Iran ceasefire holding for now, Hegseth says, after Iran attacks UAE, ships in Strait of Hormuz - CBS News	https://www.cbsnews.com/live-updates/iran-war-trump-strait-of-hormuz-ships-uae-attacked|https://www.reuters.com/world/asia-pacific/middle-east-truce-doubt-us-iran-fight-control-strait-hormuz-2026-05-05|https://www.aljazeera.com/news/2026/5/5/us-iran-ceasefire-holds-despite-hormuz-standoff-pentagon-chief-hegseth|https://www.cnbc.com/2026/05/05/oil-prices-today-wti-brent-iran-war-trump-hormuz.html|https://www.straitstimes.com/world/middle-east/us-not-looking-for-a-fight-with-temporary-operation-to-protect-ships-from-iran-pentagon-chief-says|https://www.straitstimes.com/world/middle-east/us-iran-ceasefire-on-the-brink-as-uae-reports-attacks-from-tehran
2026-05-05-russia-and-ukraine-announce-7cead297f7	2026-05-05T18:04:21.047072+00:00	Russia and Ukraine announce rival ceasefires as deadly strikes continue - BBC	https://www.bbc.com/news/articles/c1e2zjz22p9o|https://www.reuters.com/world/europe/ukraine-steps-up-medium-range-strikes-russian-forces-2026-05-05|https://www.cnn.com/2026/05/05/europe/russia-strike-before-victory-day-parade-intl|https://www.washingtonpost.com/world/2026/05/04/russia-ukraine-strikes-oil-disaster|https://www.bbc.com/news/articles/cwy234llx3vo|https://www.aljazeera.com/news/2026/5/5/russian-attack-kills-five-at-ukraines-naftogaz-gas-facility
2026-05-05-7-midterm-elections-on-9c75a69236	2026-05-05T22:49:47.926875+00:00	7 Midterm Elections on Tuesday Will Test Trump’s Power in Indiana - The New York Times	https://www.nytimes.com/2026/05/05/us/indiana-legistature-election-trump.html|https://www.nbcnews.com/politics/2026-primary-elections/calendar|https://www.cbsnews.com/news/2026-midterm-elections-primaries-indiana-state-senate-ohio-senate-governor-congress|https://www.theguardian.com/us-news/2026/may/05/ohio-primary-elections|https://www.seattletimes.com/nation-world/7-elections-on-tuesday-will-test-trumps-power
2026-05-06-ted-turner-outspoken-founder-64eca62be7	2026-05-06T18:03:03.370815+00:00	Ted Turner, outspoken founder of CNN, dies at 87 - Reuters	https://www.reuters.com/business/cnn-founder-ted-turner-dead-87-2026-05-06|https://www.cnn.com/2026/05/06/us/ted-turner-death|https://www.bbc.com/news/articles/c1k2jnx8gmlo|https://www.cnn.com/2026/05/06/politics/video/inside-politics-ben-mankiewicz-ted-turner-classic-movies|https://www.usatoday.com/story/entertainment/tv/2026/05/06/ted-turner-dead-cnn-tbs-tbt/6806180001|https://www.cbsnews.com/news/ted-turner-dies-age-87-cnn|https://www.cnn.com/2026/05/06/us/gallery/ted-turner
2026-05-06-craig-berry-veteran-accused-f68a324047	2026-05-06T22:48:41.251388+00:00	Craig Berry: Veteran accused of trying to kill his wife is found dead after dayslong manhunt in Tennessee - CNN	https://www.cnn.com/2026/05/06/us/dover-tn-craig-berry-manhunt-found-dead|https://abcnews.com/US/veteran-accused-kill-wife-added-tennessees-wanted-list/story?id=132714087|https://www.cnn.com/2026/05/06/us/craig-berry-suspect-manhunt-complications|https://www.nbcnews.com/news/us-news/officials-tennessee-continue-search-craig-berry-veteran-accused-shooti-rcna343609|https://www.usatoday.com/story/news/nation/2026/05/05/manhunt-veteran-shooting-wife-craig-berry-tennesee/89941599007|https://abcnews.com/US/manhunt-underway-tennessee-veteran-extensive-survival-training-accused/story?id=132645176|https://www.foxnews.com/us/special-forces-vet-accused-trying-kill-wife-found-dead-ending-massive-tennessee-manhunt
2026-05-07-trade-court-rules-trump-d919c8a311	2026-05-07T22:50:32.915068+00:00	Trade Court Rules Trump’s 10% Global Tariff Is Illegal - The New York Times	https://www.nytimes.com/2026/05/07/business/economy/trump-global-tariff-ruled-illegal.html|https://www.reuters.com/world/us-trade-court-rules-against-trumps-10-global-tariff-2026-05-07|https://www.aljazeera.com/amp/economy/2026/5/7/us-trade-court-rules-against-trumps-10-percent-global-tariffs|https://www.politico.com/news/2026/05/07/trade-court-rules-trumps-replacement-tariffs-illegal-00910828|https://apnews.com/article/trump-global-tariffs-trade-court-df01218b89ca925015fe41c700d6beb9|https://www.washingtonpost.com/business/2026/05/07/tariffs-trade-court-ruling-trump|https://www.cbsnews.com/news/u-s-trade-court-rules-against-trump-10-percent-tariffs
2026-05-08-cyberattack-shutters-canvas-learning-5e98dac663	2026-05-08T13:00:58.730954+00:00	Cyberattack shutters Canvas learning platform for schools across the U.S. - CBS News	https://www.cbsnews.com/news/cyberattack-shutters-canvas-learning-platform-for-schools-across-us|https://www.bbc.com/news/articles/ce3pq0136eqo|https://www.nytimes.com/2026/05/07/education/canvas-hacked-down-data-breach.html|https://www.cnn.com/2026/05/07/us/canvas-hack-strands-college-students-finals-week|https://www.nbcnews.com/tech/tech-news/cyberattack-hits-canvas-learning-management-system-rcna344160|https://www.cbsnews.com/newyork/video/cyberattack-shuts-down-canvas-learning-platform-for-schools-across-u-s|https://www.cbsnews.com/texas/video/canvas-online-learning-platform-hit-with-cyberattack-impacting-schools-across-u-s
2026-05-08-pentagon-releases-swath-of-378036a0ec	2026-05-08T17:59:11.495196+00:00	Pentagon releases swath of UFO files - Politico	https://www.politico.com/news/2026/05/08/pentagon-ufo-files-released-00911352|https://apnews.com/article/trump-ufos-uap-aliens-pentagon-records-investigation-3e658d2cf3742465127c0049c872240a|https://www.nbcnews.com/science/ufos-and-anomalous-phenomena/ufo-uap-files-pentagon-release-trump-rcna344204|https://www.aljazeera.com/news/2026/5/8/make-up-their-own-minds-pentagon-releases-first-tranche-of-ufo-files|https://www.usatoday.com/story/news/politics/2026/05/08/ufo-files-release-pentagon-trump-admin/89991344007|https://www.cnn.com/2026/05/08/politics/ufo-files-pentagon-release-aliens|https://www.nytimes.com/2026/05/08/us/politics/pentagon-ufo-files.html
2026-05-08-live-updates-u-s-37fc3b6945	2026-05-08T22:49:18.611055+00:00	Live Updates: U.S. fires on 2 Iran-flagged tankers as Rubio says U.S. expects response on peace deal today - CBS News	https://www.cbsnews.com/live-updates/iran-war-trump-us-attacks-qeshm-island-ceasefire|https://www.npr.org/2026/05/08/g-s1-121061/iran-war-updates|https://www.washingtonpost.com/national-security/2026/05/07/us-strikes-iran-ceasefire|https://www.theguardian.com/world/2026/may/08/us-iran-war-strait-of-hormuz-negotiations-marco-rubio
2026-05-09-small-georgia-town-rehires-98c92b6213	2026-05-09T12:51:01.616973+00:00	Small Georgia town rehires local police after mayor fired entire department - The Guardian	https://www.theguardian.com/us-news/2026/may/08/cohutta-georgia-mayor-fires-police-department|https://apnews.com/article/cohutta-georgia-entire-police-department-fired-c77dd882dd4f45675c170ab8d7e11095|https://www.cbsnews.com/atlanta/news/cohutta-mayor-dissolves-police-deparement-fires-officers-wife-dispute|https://abcnews.com/US/wireStory/council-meeting-called-small-georgia-town-mayor-fired-132787715|https://www.foxnews.com/us/georgia-town-reinstates-police-force-days-mayor-fired-entire-department|https://www.foxnews.com/us/georgia-mayor-fires-entire-police-department-officers-complain-wife-dispute
